EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
728964,Theater Load in and Load Outs,07/08/2023 07:00:00 AM,07/10/2023 01:00:00 PM,07/06/2023 05:17:06 PM,"Mayor's Office of Film, Theatre & Broadcasting","ATLANTIC AVENUE between FORT GREENE PLACE and 6 AVENUE,  FLATBUSH AVENUE between DEAN STREET and ATLANTIC AVENUE,  DEAN STREET between 6 AVENUE and FLATBUSH AVENUE",Brooklyn,"2, 6",78,Theater,Theater,United States of America,11217
728864,Shooting Permit,07/07/2023 03:00:00 PM,07/07/2023 11:59:00 PM,07/06/2023 12:28:41 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
728811,Shooting Permit,07/08/2023 08:00:00 AM,07/09/2023 11:00:00 PM,07/06/2023 09:54:57 AM,"Mayor's Office of Film, Theatre & Broadcasting","POINT CRESCENT between BOULEVARD and 141 STREET,  BOULEVARD between POINT CRESCENT and MALBA DRIVE",Queens,7,109,Television,Episodic series,United States of America,11357
728533,Shooting Permit,07/06/2023 12:00:00 AM,07/06/2023 01:00:00 PM,07/05/2023 08:24:16 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
728455,Shooting Permit,07/08/2023 02:00:00 AM,07/08/2023 11:59:00 PM,07/04/2023 01:21:33 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   48 STREET between 6 AVENUE and 7 AVENUE,  WEST   48 STREET between 6 AVENUE and 7 AVENUE",Manhattan,5,18,Television,News,United States of America,"10036, 10105"
728309,Shooting Permit,07/06/2023 07:30:00 AM,07/06/2023 10:00:00 PM,07/03/2023 02:46:07 PM,"Mayor's Office of Film, Theatre & Broadcasting","113 STREET between 84 AVENUE and 85 AVENUE,  84 AVENUE between 112 STREET and BESSEMER STREET,  85 AVENUE between 112 STREET and 113 STREET,  85 AVENUE between 112 STREET and 113 STREET,  85 AVENUE between 113 STREET and 114 STREET",Queens,"12, 9","102, 103",Television,Episodic series,United States of America,"11418, 11433"
728295,Shooting Permit,07/06/2023 09:00:00 AM,07/06/2023 10:00:00 PM,07/03/2023 01:30:24 PM,"Mayor's Office of Film, Theatre & Broadcasting",IRWIN PLACE between ROE ROAD and 120 AVENUE,Queens,12,113,Commercial,Commercial,United States of America,11434
728292,Shooting Permit,07/07/2023 06:00:00 AM,07/07/2023 08:00:00 PM,07/03/2023 01:25:10 PM,"Mayor's Office of Film, Theatre & Broadcasting",METROPOLITAN AVENUE between WYTHE AVENUE and BERRY STREET,Brooklyn,1,"90, 94",Commercial,Commercial,United States of America,11249
728225,Shooting Permit,07/06/2023 07:00:00 AM,07/06/2023 11:00:00 PM,07/03/2023 10:00:50 AM,"Mayor's Office of Film, Theatre & Broadcasting",MONROE STREET between PIKE STREET and MARKET STREET,Manhattan,3,5,Music Video,Signed Artist,United States of America,10002
728010,Shooting Permit,07/07/2023 01:00:00 PM,07/08/2023 04:00:00 AM,06/30/2023 04:18:24 PM,"Mayor's Office of Film, Theatre & Broadcasting","6 AVENUE between WHITE STREET and FRANKLIN STREET,  CHURCH STREET between WHITE STREET and FRANKLIN STREET,  CHURCH STREET between WALKER STREET and WHITE STREET,  BEACH ST between WEST BROADWAY and ST JOHN'S LANE,  WALKER STREET between BROADWAY and CHURCH STREET,  SOUTH    6 STREET between WYTHE AVENUE and BERRY STREET,  WYTHE AVENUE between SOUTH    6 STREET and BROADWAY,  SOUTH    6 STREET between BERRY STREET and BEDFORD AVENUE,  SOUTH    5 STREET between BERRY STREET and KENT AVENUE",Manhattan,1,"1, 90",Film,Feature,United States of America,"10013, 11249"
727977,Shooting Permit,07/07/2023 06:00:00 AM,07/07/2023 08:00:00 PM,06/30/2023 02:00:09 PM,"Mayor's Office of Film, Theatre & Broadcasting","FREDERICK DOUGLASS BOULEVARD between WEST  132 STREET and WEST  134 STREET,  EDGECOMB AVENUE between WEST  137 STREET and WEST  138 STREET",Manhattan,10,32,Commercial,Commercial,United States of America,"10027, 10030"
727940,Shooting Permit,07/07/2023 07:00:00 AM,07/07/2023 07:00:00 PM,06/30/2023 12:41:09 PM,"Mayor's Office of Film, Theatre & Broadcasting",PARK AVENUE between EAST  106 STREET and EAST  108 STREET,Manhattan,11,23,Commercial,Promo,United States of America,10029
727925,Shooting Permit,07/06/2023 07:00:00 AM,07/06/2023 09:00:00 PM,06/30/2023 11:59:32 AM,"Mayor's Office of Film, Theatre & Broadcasting","22 ST between 43 AVE and QUEEN SPLAZA S,  43 AVE between 22 ST and 21 ST,  21 ST between 43 AVENUE and QUEENS PLAZA S,  QUEENS PLAZA S between 21 ST and 22 ST",Queens,2,108,Television,Episodic series,United States of America,11101
727921,Shooting Permit,07/05/2023 07:00:00 AM,07/05/2023 09:00:00 PM,06/30/2023 11:54:44 AM,"Mayor's Office of Film, Theatre & Broadcasting","22 ST between 43 AVE and QUEENS PLAZA S,  43 AVE between 22 ST and 21 ST,  21 ST between QUEENS PLAZA S and 43 AVE,  QUEENS PLAZA S between 21 ST and 22 ST",Queens,2,108,Television,Episodic series,United States of America,11101
727798,Shooting Permit,06/30/2023 07:00:00 AM,06/30/2023 09:00:00 PM,06/29/2023 04:02:22 PM,"Mayor's Office of Film, Theatre & Broadcasting","22 ST between QUEENS PLAZA S and 43 AVE,  43 AVE between 21 STREET and 22 ST,  21 ST between 43 AVENUE and QUEENS PLAZA S,  QUEENS PLAZA S between 22 ST and 21 ST",Queens,2,108,Television,Episodic series,United States of America,11101
727707,Shooting Permit,07/04/2023 12:00:00 AM,07/04/2023 01:00:00 PM,06/29/2023 11:25:38 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
