Geography,Name,Level,year,"<= $20,000","$20,001 -
$40,000","$40,001 -
$60,000","$60,001 -
$100,000","$100,001 -
$250,000","> $250,000"
NYC,New York City,City,2000,16.4%,15.2%,14.5%,20.9%,26.3%,6.6%
NYC,New York City,City,2017-2021,15.1%,14.4%,12.5%,18.9%,29.3%,9.9%
BX,The Bronx,Boro,2000,24.2%,18.1%,16.5%,20.1%,19.0%,2.1%
BX,The Bronx,Boro,2017-2021,25.2%,19.2%,15.7%,19.0%,18.5%,2.4%
BK,Brooklyn,Boro,2000,20.1%,17.0%,15.4%,20.6%,23.2%,3.8%
BK,Brooklyn,Boro,2017-2021,15.7%,14.7%,12.9%,18.8%,29.3%,8.6%
MN,Manhattan,Boro,2000,14.6%,12.5%,12.2%,18.4%,27.2%,15.1%
MN,Manhattan,Boro,2017-2021,14.0%,11.2%,9.0%,15.3%,30.0%,20.5%
QN,Queens,Boro,2000,11.0%,14.8%,15.2%,24.0%,30.8%,4.2%
QN,Queens,Boro,2017-2021,10.0%,14.6%,13.4%,22.1%,33.4%,6.4%
SI,Staten Island,Boro,2000,9.2%,11.0%,11.8%,21.9%,38.9%,7.2%
SI,Staten Island,Boro,2017-2021,9.5%,11.2%,11.3%,19.8%,39.3%,8.9%
BX 01,Mott Haven/Melrose,Community District,2000,37.4%,22.7%,14.7%,15.5%,8.7%,0.9%
BX 01,Mott Haven/Melrose,Community District,2017-2021,38.5%,21.7%,14.6%,12.4%,11.6%,1.1%
BX 02,Hunts Point/Longwood,Community District,2000,37.4%,22.7%,14.7%,15.5%,8.7%,0.9%
BX 02,Hunts Point/Longwood,Community District,2017-2021,38.5%,21.7%,14.6%,12.4%,11.6%,1.1%
BX 03,Morrisania/Crotona,Community District,2000,36.9%,20.9%,16.8%,15.1%,9.5%,0.8%
BX 03,Morrisania/Crotona,Community District,2017-2021,34.9%,22.6%,15.7%,16.5%,9.3%,1.1%
BX 04,Highbridge/Concourse,Community District,2000,30.6%,21.1%,17.3%,19.6%,10.2%,1.2%
BX 04,Highbridge/Concourse,Community District,2017-2021,29.1%,19.6%,19.4%,19.4%,11.7%,0.8%
BX 05,Fordham/University Heights,Community District,2000,33.0%,19.5%,16.1%,19.1%,11.0%,1.3%
BX 05,Fordham/University Heights,Community District,2017-2021,31.9%,20.7%,16.9%,18.9%,10.5%,1.1%
BX 06,Belmont/East Tremont,Community District,2000,36.9%,20.9%,16.8%,15.1%,9.5%,0.8%
BX 06,Belmont/East Tremont,Community District,2017-2021,34.9%,22.6%,15.7%,16.5%,9.3%,1.1%
BX 07,Kingsbridge Heights/Bedford,Community District,2000,25.0%,18.5%,18.6%,20.5%,16.0%,1.4%
BX 07,Kingsbridge Heights/Bedford,Community District,2017-2021,27.2%,20.7%,16.1%,21.1%,14.1%,0.7%
BX 08,Riverdale/Fieldston,Community District,2000,13.8%,13.9%,14.1%,23.3%,28.5%,6.3%
BX 08,Riverdale/Fieldston,Community District,2017-2021,15.1%,15.7%,16.3%,16.8%,28.9%,7.2%
BX 09,Parkchester/Soundview,Community District,2000,23.2%,18.2%,18.1%,21.0%,18.6%,1.0%
BX 09,Parkchester/Soundview,Community District,2017-2021,23.1%,20.3%,14.1%,19.2%,21.2%,1.9%
BX 10,Throgs Neck/Co-op City,Community District,2000,12.6%,14.4%,15.0%,22.5%,32.3%,3.2%
BX 10,Throgs Neck/Co-op City,Community District,2017-2021,14.5%,16.6%,13.8%,21.9%,29.1%,4.1%
BX 11,Morris Park/Bronxdale,Community District,2000,17.3%,16.6%,17.2%,21.3%,25.5%,2.0%
BX 11,Morris Park/Bronxdale,Community District,2017-2021,14.9%,16.7%,18.0%,21.4%,26.1%,2.9%
BX 12,Williamsbridge/Baychester,Community District,2000,15.9%,16.2%,16.3%,21.9%,26.7%,3.1%
BX 12,Williamsbridge/Baychester,Community District,2017-2021,18.2%,16.1%,13.0%,22.9%,25.7%,4.2%
BK 01,Greenpoint/Williamsburg,Community District,2000,23.4%,20.8%,16.0%,20.1%,18.1%,1.5%
BK 01,Greenpoint/Williamsburg,Community District,2017-2021,13.1%,12.4%,8.8%,16.1%,34.7%,15.0%
