,New York City,The Bronx,Brooklyn,Manhattan,Queens,Staten Island,Mott Haven/Melrose,Hunts Point/Longwood,Morrisania/Crotona,Highbridge/Concourse,Fordham/University Heights,Belmont/East Tremont,Kingsbridge Heights/Bedford,Riverdale/Fieldston,Parkchester/Soundview,Throgs Neck/Co-op City,Morris Park/Bronxdale,Williamsbridge/Baychester,Greenpoint/Williamsburg,Fort Greene/Brooklyn Heights,Bedford Stuyvesant,Bushwick,East New York/Starrett City,Park Slope/Carroll Gardens,Sunset Park,Crown Heights/Prospect Heights,South Crown Heights/Lefferts Gardens,Bay Ridge/Dyker Heights,Bensonhurst,Borough Park,Coney Island,Flatbush/Midwood,Sheepshead Bay,Brownsville,East Flatbush,Flatlands/Canarsie,Financial District,Greenwich Village/Soho,Lower East Side/Chinatown,Clinton/Chelsea,Midtown,Stuyvesant Town/Turtle Bay,Upper West Side,Upper East Side,Morningside Heights/Hamilton,Central Harlem,East Harlem,Washington Heights/Inwood,Astoria,Woodside/Sunnyside,Jackson Heights,Elmhurst/Corona,Ridgewood/Maspeth,Rego Park/Forest Hills,Flushing/Whitestone,Hillcrest/Fresh Meadows,Kew Gardens/Woodhaven,South Ozone Park/Howard Beach,Bayside/Little Neck,Jamaica/Hollis,Queens Village,Rockaway/Broad Channel,St. George/Stapleton,South Beach/Willowbrook,Tottenville/Great Kills
2006,1330.0,1160.0,1260.0,1520.0,1500.0,1390.0,860.0,860.0,1000.0,1120.0,1160.0,1000.0,1260.0,1320.0,1200.0,1240.0,1230.0,1290.0,1150.0,1320.0,1010.0,1160.0,1210.0,1880.0,1370.0,1210.0,1240.0,1410.0,1360.0,1370.0,980.0,1310.0,1240.0,870.0,1290.0,1390.0,2470.0,2470.0,1090.0,2020.0,2020.0,2200.0,1880.0,2230.0,1120.0,910.0,790.0,1170.0,1440.0,1500.0,1540.0,1520.0,1480.0,1570.0,1630.0,1490.0,1560.0,1630.0,1680.0,1310.0,1700.0,1140.0,1330.0,1450.0,1460.0
2007,1350.0,1180.0,1290.0,1550.0,1510.0,1470.0,850.0,850.0,1020.0,1170.0,1160.0,1020.0,1240.0,1340.0,1170.0,1200.0,1330.0,1310.0,1330.0,1480.0,1100.0,1250.0,1240.0,1720.0,1350.0,1190.0,1260.0,1420.0,1340.0,1340.0,1030.0,1330.0,1300.0,900.0,1300.0,1460.0,2540.0,2540.0,1010.0,1940.0,1940.0,2400.0,2030.0,2340.0,1270.0,980.0,820.0,1210.0,1450.0,1580.0,1590.0,1530.0,1500.0,1650.0,1610.0,1430.0,1520.0,1590.0,1670.0,1310.0,1710.0,1070.0,1420.0,1500.0,1520.0
2008,1370.0,1200.0,1300.0,1580.0,1510.0,1420.0,880.0,880.0,1020.0,1170.0,1200.0,1020.0,1270.0,1370.0,1190.0,1350.0,1270.0,1320.0,1290.0,1410.0,1190.0,1290.0,1280.0,1980.0,1380.0,1260.0,1260.0,1450.0,1300.0,1440.0,1000.0,1340.0,1260.0,970.0,1360.0,1430.0,2560.0,2560.0,990.0,1980.0,1980.0,2380.0,1970.0,2360.0,1330.0,970.0,840.0,1240.0,1490.0,1510.0,1510.0,1520.0,1480.0,1630.0,1600.0,1510.0,1530.0,1620.0,1810.0,1320.0,1650.0,1200.0,1410.0,1380.0,1520.0
2009,1420.0,1210.0,1340.0,1710.0,1560.0,1440.0,920.0,920.0,1070.0,1180.0,1220.0,1070.0,1280.0,1410.0,1220.0,1260.0,1330.0,1370.0,1360.0,1560.0,1200.0,1360.0,1280.0,2110.0,1430.0,1250.0,1270.0,1520.0,1250.0,1430.0,1090.0,1340.0,1340.0,1040.0,1350.0,1470.0,2700.0,2700.0,1140.0,2210.0,2210.0,2490.0,2240.0,2320.0,1360.0,970.0,930.0,1290.0,1560.0,1610.0,1560.0,1610.0,1540.0,1650.0,1650.0,1590.0,1570.0,1570.0,1850.0,1390.0,1720.0,1200.0,1330.0,1500.0,1590.0
2010,1450.0,1250.0,1390.0,1680.0,1600.0,1470.0,910.0,910.0,1060.0,1230.0,1280.0,1060.0,1360.0,1450.0,1260.0,1330.0,1350.0,1350.0,1370.0,1780.0,1230.0,1420.0,1310.0,2100.0,1490.0,1370.0,1330.0,1510.0,1300.0,1540.0,1120.0,1400.0,1350.0,1080.0,1390.0,1460.0,2810.0,2810.0,1190.0,2090.0,2090.0,2450.0,1960.0,2290.0,1280.0,1020.0,1030.0,1340.0,1640.0,1660.0,1560.0,1600.0,1600.0,1690.0,1710.0,1520.0,1570.0,1660.0,1820.0,1420.0,1750.0,1170.0,1470.0,1360.0,1590.0
2011,1460.0,1270.0,1390.0,1760.0,1600.0,1390.0,910.0,910.0,1090.0,1220.0,1210.0,1090.0,1350.0,1460.0,1330.0,1350.0,1390.0,1410.0,1530.0,1720.0,1170.0,1440.0,1310.0,2130.0,1440.0,1320.0,1330.0,1540.0,1390.0,1490.0,1110.0,1430.0,1350.0,1040.0,1340.0,1470.0,2770.0,2770.0,1100.0,2270.0,2270.0,2450.0,2270.0,2310.0,1350.0,1070.0,1010.0,1370.0,1620.0,1680.0,1580.0,1610.0,1530.0,1750.0,1670.0,1540.0,1580.0,1610.0,1960.0,1400.0,1820.0,1230.0,1370.0,1390.0,1450.0
2012,1470.0,1250.0,1410.0,1780.0,1600.0,1370.0,920.0,920.0,1060.0,1210.0,1260.0,1060.0,1370.0,1460.0,1250.0,1200.0,1410.0,1410.0,1590.0,1880.0,1280.0,1440.0,1240.0,2080.0,1520.0,1320.0,1390.0,1530.0,1420.0,1510.0,1070.0,1430.0,1430.0,1150.0,1360.0,1480.0,2840.0,2840.0,1300.0,2460.0,2460.0,2530.0,2050.0,2400.0,1380.0,1080.0,1140.0,1310.0,1680.0,1720.0,1620.0,1610.0,1520.0,1690.0,1640.0,1590.0,1640.0,1600.0,1900.0,1410.0,1700.0,1190.0,1320.0,1320.0,1510.0
2013,1480.0,1280.0,1440.0,1800.0,1610.0,1400.0,1000.0,1000.0,1110.0,1300.0,1220.0,1110.0,1350.0,1520.0,1260.0,1310.0,1370.0,1460.0,1560.0,1800.0,1270.0,1480.0,1340.0,2240.0,1520.0,1310.0,1380.0,1550.0,1420.0,1560.0,1100.0,1440.0,1410.0,1050.0,1440.0,1550.0,2910.0,2910.0,1150.0,2690.0,2690.0,2780.0,2140.0,2370.0,1440.0,1090.0,1050.0,1360.0,1660.0,1720.0,1640.0,1630.0,1520.0,1750.0,1640.0,1580.0,1640.0,1590.0,1870.0,1440.0,1700.0,1280.0,1290.0,1530.0,1490.0
2014,1520.0,1280.0,1480.0,1820.0,1650.0,1370.0,980.0,980.0,1080.0,1250.0,1280.0,1080.0,1380.0,1420.0,1310.0,1330.0,1460.0,1430.0,1890.0,1940.0,1280.0,1510.0,1260.0,2380.0,1590.0,1390.0,1480.0,1590.0,1460.0,1650.0,1030.0,1510.0,1490.0,1130.0,1410.0,1510.0,3040.0,3040.0,1210.0,2650.0,2650.0,2560.0,2110.0,2500.0,1450.0,1160.0,1030.0,1460.0,1760.0,1850.0,1650.0,1660.0,1580.0,1770.0,1630.0,1610.0,1670.0,1660.0,1920.0,1440.0,1790.0,1210.0,1330.0,1370.0,1470.0
2015,1570.0,1320.0,1530.0,1920.0,1710.0,1440.0,1010.0,1010.0,1130.0,1300.0,1310.0,1130.0,1410.0,1550.0,1330.0,1260.0,1480.0,1420.0,1910.0,2070.0,1460.0,1550.0,1310.0,2420.0,1540.0,1440.0,1490.0,1640.0,1510.0,1610.0,1220.0,1560.0,1550.0,1020.0,1450.0,1570.0,3160.0,3160.0,1280.0,2610.0,2610.0,2910.0,2140.0,2480.0,1570.0,1230.0,930.0,1480.0,1810.0,1890.0,1670.0,1700.0,1690.0,1840.0,1690.0,1740.0,1710.0,1690.0,1980.0,1450.0,1800.0,1340.0,1400.0,1560.0,1400.0
2016,1590.0,1330.0,1580.0,1960.0,1710.0,1470.0,1120.0,1120.0,1140.0,1310.0,1320.0,1140.0,1400.0,1540.0,1360.0,1410.0,1490.0,1480.0,2050.0,2100.0,1520.0,1650.0,1330.0,2390.0,1650.0,1600.0,1530.0,1690.0,1570.0,1700.0,1160.0,1550.0,1530.0,1140.0,1550.0,1600.0,2980.0,2980.0,1240.0,2630.0,2630.0,2980.0,2540.0,2650.0,1460.0,1170.0,1030.0,1540.0,1800.0,1850.0,1730.0,1640.0,1750.0,1850.0,1780.0,1790.0,1730.0,1700.0,1910.0,1470.0,1780.0,1230.0,1440.0,1540.0,1450.0
2017,1590.0,1350.0,1580.0,1850.0,1730.0,1490.0,1120.0,1120.0,1180.0,1290.0,1350.0,1180.0,1450.0,1600.0,1340.0,1360.0,1470.0,1600.0,2260.0,2170.0,1400.0,1660.0,1410.0,2580.0,1670.0,1440.0,1470.0,1670.0,1580.0,1640.0,1180.0,1610.0,1600.0,1020.0,1480.0,1620.0,2960.0,2960.0,1290.0,2440.0,2440.0,2820.0,2210.0,2700.0,1450.0,1210.0,1030.0,1470.0,1890.0,1860.0,1740.0,1690.0,1690.0,1900.0,1710.0,1700.0,1710.0,1810.0,2090.0,1510.0,1850.0,1360.0,1380.0,1630.0,1600.0
2018,1640.0,1350.0,1620.0,1980.0,1800.0,1460.0,1040.0,1040.0,1190.0,1330.0,1320.0,1190.0,1440.0,1570.0,1360.0,1330.0,1530.0,1600.0,2100.0,2400.0,1600.0,1800.0,1410.0,2400.0,1810.0,1560.0,1690.0,1650.0,1600.0,1760.0,1270.0,1570.0,1600.0,1100.0,1510.0,1650.0,2990.0,2990.0,1290.0,2370.0,2370.0,2770.0,2530.0,2610.0,1720.0,1290.0,1160.0,1570.0,1920.0,1960.0,1820.0,1800.0,1790.0,2000.0,1720.0,1720.0,1840.0,1930.0,2200.0,1510.0,1810.0,1400.0,1400.0,1470.0,1580.0
2019,1650.0,1370.0,1650.0,1950.0,1830.0,1450.0,1100.0,1100.0,1220.0,1300.0,1360.0,1220.0,1500.0,1570.0,1410.0,1350.0,1570.0,1510.0,2250.0,2480.0,1600.0,1900.0,1340.0,2600.0,1730.0,1730.0,1600.0,1800.0,1610.0,1770.0,1200.0,1660.0,1610.0,1240.0,1590.0,1620.0,3110.0,3110.0,1170.0,2230.0,2230.0,3100.0,2210.0,2630.0,1680.0,1380.0,1000.0,1470.0,1980.0,2030.0,1840.0,1820.0,1860.0,1980.0,1740.0,1730.0,1830.0,1930.0,2100.0,1500.0,1950.0,1380.0,1350.0,1530.0,1560.0
2020,1640.0,1370.0,1640.0,1970.0,1810.0,1450.0,1130.0,1130.0,1270.0,1320.0,1340.0,1270.0,1440.0,1530.0,1390.0,1430.0,1590.0,1510.0,2240.0,2490.0,1640.0,1780.0,1320.0,2580.0,1730.0,1660.0,1580.0,1740.0,1600.0,1730.0,1160.0,1620.0,1590.0,1230.0,1560.0,1620.0,3070.0,3070.0,1180.0,2250.0,2250.0,3010.0,2210.0,2620.0,1600.0,1440.0,930.0,1480.0,1950.0,2040.0,1800.0,1750.0,1840.0,2000.0,1690.0,1640.0,1830.0,1910.0,2100.0,1470.0,1970.0,1430.0,1370.0,1530.0,1570.0
2021,1700.0,1390.0,1730.0,1980.0,1820.0,1530.0,1120.0,1120.0,1180.0,1360.0,1390.0,1180.0,1500.0,1550.0,1390.0,1430.0,1620.0,1490.0,2490.0,2650.0,1910.0,2000.0,1390.0,2600.0,1720.0,1800.0,1590.0,1720.0,1640.0,1730.0,1260.0,1640.0,1620.0,1100.0,1590.0,1770.0,3320.0,3320.0,1250.0,2550.0,2550.0,2550.0,2390.0,2640.0,1540.0,1300.0,1220.0,1490.0,1900.0,1950.0,1780.0,1800.0,1860.0,1940.0,1770.0,1760.0,1850.0,1960.0,2230.0,1590.0,1850.0,1450.0,1490.0,1650.0,1480.0
