Geography,Name,Level,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
NYC,New York City,City,"$1,330","$1,350","$1,370","$1,420","$1,450","$1,460","$1,470","$1,480","$1,520","$1,570","$1,590","$1,590","$1,640","$1,650","$1,640","$1,700"
BX,The Bronx,Boro,"$1,160","$1,180","$1,200","$1,210","$1,250","$1,270","$1,250","$1,280","$1,280","$1,320","$1,330","$1,350","$1,350","$1,370","$1,370","$1,390"
BK,Brooklyn,Boro,"$1,260","$1,290","$1,300","$1,340","$1,390","$1,390","$1,410","$1,440","$1,480","$1,530","$1,580","$1,580","$1,620","$1,650","$1,640","$1,730"
MN,Manhattan,Boro,"$1,520","$1,550","$1,580","$1,710","$1,680","$1,760","$1,780","$1,800","$1,820","$1,920","$1,960","$1,850","$1,980","$1,950","$1,970","$1,980"
QN,Queens,Boro,"$1,500","$1,510","$1,510","$1,560","$1,600","$1,600","$1,600","$1,610","$1,650","$1,710","$1,710","$1,730","$1,800","$1,830","$1,810","$1,820"
SI,Staten Island,Boro,"$1,390","$1,470","$1,420","$1,440","$1,470","$1,390","$1,370","$1,400","$1,370","$1,440","$1,470","$1,490","$1,460","$1,450","$1,450","$1,530"
BX 01,Mott Haven/Melrose,Community District,$860,$850,$880,$920,$910,$910,$920,"$1,000",$980,"$1,010","$1,120","$1,120","$1,040","$1,100","$1,130","$1,120"
BX 02,Hunts Point/Longwood,Community District,$860,$850,$880,$920,$910,$910,$920,"$1,000",$980,"$1,010","$1,120","$1,120","$1,040","$1,100","$1,130","$1,120"
BX 03,Morrisania/Crotona,Community District,"$1,000","$1,020","$1,020","$1,070","$1,060","$1,090","$1,060","$1,110","$1,080","$1,130","$1,140","$1,180","$1,190","$1,220","$1,270","$1,180"
BX 04,Highbridge/Concourse,Community District,"$1,120","$1,170","$1,170","$1,180","$1,230","$1,220","$1,210","$1,300","$1,250","$1,300","$1,310","$1,290","$1,330","$1,300","$1,320","$1,360"
BX 05,Fordham/University Heights,Community District,"$1,160","$1,160","$1,200","$1,220","$1,280","$1,210","$1,260","$1,220","$1,280","$1,310","$1,320","$1,350","$1,320","$1,360","$1,340","$1,390"
BX 06,Belmont/East Tremont,Community District,"$1,000","$1,020","$1,020","$1,070","$1,060","$1,090","$1,060","$1,110","$1,080","$1,130","$1,140","$1,180","$1,190","$1,220","$1,270","$1,180"
BX 07,Kingsbridge Heights/Bedford,Community District,"$1,260","$1,240","$1,270","$1,280","$1,360","$1,350","$1,370","$1,350","$1,380","$1,410","$1,400","$1,450","$1,440","$1,500","$1,440","$1,500"
